,client_id,pit,recent_successful_repayments,future_bad_probability,available_credit,balance,sum_failed_repayments ,max_failed_repayments,credit_score,external score,credit_inquiries_count,credit_open_balance,years_on_file,max_successful_repayments,missing_report,client_industry_unknown,tag_in_six_months
1,10857,7/8/17,7267.064595999999,0.94855327,2224.550794,7675.651539,335.79058060000006,330.41681669999997,685.0,993.5,7.0,29835.0,between 0.5 and 1 years,0.0,0,0,bad
5,14108,27/08/2017,-24.26180695,0.913875544,-176.2417048,6159.636587,1036.432068,261.6188214,768.0,1118.0,16.0,393824.0,between 5 and 6 years,0.0,0,1,bad
8,12019,25/07/2017,23799.44414,0.8951602040000001,30614.4754,17586.95049,1679.119093,628.3163127,713.0,1035.5,8.0,419783.0,between 3 and 5 years,2.0,0,0,bad
10,2647,26/03/2017,17052.24539,0.8668978270000001,443.08323509999997,18855.04772,0.0,0.0,662.0,959.0,3.0,212813.0,between 1.5 and 2 years,,0,0,bad
11,15281,8/5/17,-9.609538322,0.8615204409999999,-4537.729415,19660.12967,2365.986493,873.5987747000001,660.0,956.0,13.0,50356.0,between 2 and 2.5 years,,0,0,bad
12,1430,4/5/17,6558.77874,0.8574693240000001,11293.59028,8832.874632,3734.6479659999995,953.2323977,622.0,899.0,9.0,89717.0,between 6 and 8 years,,0,0,bad
13,19076,30/10/2016,3702.7876420000002,0.856508765,2705.450067,7621.6256730000005,0.0,0.0,,-34.0,,,between 3 and 5 years,,0,0,bad
14,30506,23/10/2016,7.1282294120000005,0.855109674,8263.631102,6694.334645,227.72100240000003,221.8330159,599.0,864.5,2.0,284043.0,between 8 and 10 years,,0,0,bad
15,11450,7/12/17,25799.25551,0.8548586859999999,9894.245938,40343.16335,1908.123572,878.0349069,728.0,1058.0,2.0,487222.0,between 8 and 10 years,0.0,0,0,bad
18,18580,22/11/2016,19515.949569999997,0.8472765259999999,3841.2750539999997,22911.02037,0.0,0.0,,-34.0,,,between 3 and 5 years,,0,0,bad
19,43243,21/11/2016,3990.591695,0.846912971,1812.1067239999998,3208.803888,115.1113246,67.07884734,605.0,873.5,1.0,16425.0,,,0,0,bad
20,2843,4/1/17,1099.802692,0.844122913,-4653.159432,24504.963040000002,3240.3249960000003,946.2691171,703.0,1020.5,10.0,44776.0,between 2 and 2.5 years,,0,0,bad
22,12499,16/08/2017,53.00202814,0.836911567,-3203.148627,23442.412940000002,2075.394389,225.7660836,658.0,953.0,7.0,63834.0,less than 0.5 year,0.0,0,1,bad
25,20277,23/10/2016,7508.216367,0.828795573,45.92278005,19865.5153,1086.853784,625.6984064,771.0,1122.5,0.0,0.0,between 1 and 1.5 years,,0,0,bad
26,5658,7/4/17,7372.082576000001,0.8257893940000001,1013.687766,14600.117909999999,0.0,0.0,591.0,852.5,7.0,279223.0,between 2 and 2.5 years,23.0,0,0,bad
27,8646,2/6/17,8821.305855,0.825752123,2873.63218,17258.882540000002,4038.444303,698.7898047,638.0,923.0,11.0,567105.0,less than 0.5 year,,0,1,bad
28,14730,25/12/2016,11405.00184,0.823623483,1799.14807,17811.58887,1317.24819,424.71224400000006,625.0,903.5,13.0,15909.0,between 6 and 8 years,,0,0,bad
29,11636,22/07/2017,18548.48254,0.8193191559999999,410.2138797,19053.65782,0.0,0.0,679.0,984.5,7.0,43975.0,between 12 and 14 years,25.0,0,0,bad
31,39078,12/3/16,29097.049919999998,0.813691976,8537.255716,31269.98242,3123.301112,848.7450718,686.0,995.0,21.0,415477.0,between 25 and 30 years,,0,0,bad
32,21058,9/4/17,-10.4670149,0.813604034,-584.2113631,6626.235564,626.4339642000001,228.8438097,610.0,881.0,22.0,504015.0,,0.0,0,1,bad
39,4562,21/05/2017,2063.744669,0.80427851,-1539.464746,21585.57295,5090.447306,351.60428019999995,643.0,930.5,15.0,661435.0,between 25 and 30 years,,0,0,bad
41,21633,26/09/2016,8.315459211,0.799957315,-848.3639294,5832.288393,221.200888,226.7907801,601.0,867.5,34.0,37016.0,between 3 and 5 years,,0,0,bad
43,11503,18/01/2017,8469.616118,0.798321946,19836.32826,7.528797044,685.2537053,665.1254756,654.0,947.0,9.0,181287.0,,,0,0,bad
48,33647,1/9/17,19293.58233,0.790092473,6322.174953,13669.298780000001,0.0,0.0,616.0,890.0,47.0,161283.0,between 0.5 and 1 years,,0,0,bad
49,43237,20/08/2016,8750.949718,0.788740612,-2359.4140850000003,22350.64153,2136.096274,227.9387588,637.0,921.5,31.0,95415.0,,,0,0,bad
50,17897,29/11/2016,25085.69457,0.7877946090000001,1753.760594,29132.72676,0.0,0.0,751.0,1092.5,4.0,49855.0,between 0.5 and 1 years,,0,0,bad
54,4512,21/03/2017,12296.123109999999,0.7779219940000001,1352.085049,19347.37536,5088.03039,4862.021412,654.0,947.0,9.0,374003.0,between 12 and 14 years,,0,0,bad
56,3909,7/3/17,-53.70752061,0.773048546,-6561.674852,26464.95065,1590.9340140000002,888.1460066999999,586.0,845.0,20.0,242495.0,between 0.5 and 1 years,0.0,0,0,bad
60,37544,31/08/2016,6693.201553,0.76935622,-1230.958378,11130.82246,966.8254363,137.77959009999998,627.0,906.5,4.0,41740.0,between 1.5 and 2 years,,0,0,bad
63,21480,9/6/17,8338.40927,0.7649643009999999,15178.447259999999,4776.403847,2480.297793,598.3135491,664.0,962.0,4.0,495282.0,between 17 and 20 years,0.0,0,0,bad
64,7336,6/12/17,41.17934257,0.763552206,9558.955273,25737.40229,1533.150517,1538.0862710000001,649.0,939.5,19.0,480073.0,between 14 and 17 years,,0,0,bad
65,16877,5/1/17,9374.720043000001,0.763528346,11793.01597,8041.675767000001,0.0,0.0,,-34.0,,,,21.0,0,1,bad
66,5276,15/03/2017,14760.82003,0.762550099,2409.960991,37834.16436,876.7458457,876.4739694,583.0,840.5,83.0,1341.0,,,0,0,bad
67,14365,30/07/2017,92.40292615,0.76250549,-6479.963667,26423.85589,861.4757256000001,835.5915398,735.0,1068.5,12.0,208429.0,between 1.5 and 2 years,0.0,0,0,bad
69,8101,2/6/17,2022.2356170000003,0.761927199,-1955.8507140000002,22034.649859999998,2279.121211,379.823008,680.0,986.0,13.0,400416.0,,,0,0,bad
71,9462,29/01/2017,17449.990719999998,0.7612866629999999,1040.0212800000002,18939.60692,1152.9865949999999,448.50490099999996,640.0,926.0,0.0,422277.0,between 10 and 12 years,,0,0,bad
74,24211,30/08/2016,11688.39357,0.758181854,-2056.99303,21926.80469,855.6042884999999,201.656545,632.0,914.0,5.0,415996.0,between 10 and 12 years,,0,0,bad
75,8524,2/12/17,8430.996199,0.7575148270000001,4837.475820000001,15115.264969999998,2564.77165,455.20865430000003,639.0,924.5,12.0,314.0,,,0,1,bad
76,16121,20/08/2017,26.14154346,0.757199836,-15062.94845,65150.73952999999,8067.705051999999,1992.5328190000002,692.0,1004.0,6.0,217762.0,between 14 and 17 years,0.0,0,1,bad
80,4570,3/12/17,17854.01321,0.755561771,1568.326696,17873.17885,0.0,0.0,640.0,926.0,22.0,233214.0,between 14 and 17 years,,0,0,bad
82,33603,1/8/17,1232.058694,0.7543396990000001,2363.199427,17996.18018,5932.267909,965.3360964,653.0,945.5,34.0,360802.0,between 3 and 5 years,,0,0,bad
83,11414,15/01/2017,1041.529916,0.754298308,-258.3943606,10286.76914,3063.0309420000003,501.6222444,632.0,914.0,13.0,205055.0,between 8 and 10 years,,0,0,bad
84,11316,1/11/17,12378.23737,0.752926986,5436.220417,9606.630229,981.4330556,223.919063,694.0,1007.0,17.0,4080.0,between 12 and 14 years,,0,0,bad
85,6617,19/07/2017,4955.081727000001,0.752333686,-101.6225572,13668.61843,0.0,0.0,609.0,879.5,21.0,1623.0,,23.0,0,0,bad
86,19986,9/5/17,1320.320891,0.749666788,-428.0563824,6627.886045,413.59077169999995,264.285631,717.0,1041.5,5.0,48103.0,,0.0,0,0,bad
88,4257,29/03/2017,12797.15027,0.7458790609999999,2054.43737,17908.45007,416.0051566,205.4628636,790.0,1151.0,10.0,196434.0,,,0,0,bad
90,10853,19/02/2017,338.6348595,0.745486905,5672.669352,284.265625,140.6612593,53.82809849,622.0,899.0,10.0,144964.0,less than 0.5 year,,0,0,bad
91,17826,23/08/2017,-43.18016262,0.744386069,-784.6258725,20858.395630000003,1211.210067,559.9518917,626.0,905.0,23.0,1124679.0,between 1.5 and 2 years,0.0,0,0,bad
93,35087,15/08/2016,43351.15083,0.74167983,,50548.237160000004,,,652.0,944.0,,,between 6 and 8 years,,0,0,bad
94,1107,19/04/2017,2184.437575,0.741554753,1995.699541,7250.709051999999,390.8339792,396.7711407,689.0,999.5,49.0,56045.0,less than 0.5 year,4.0,0,0,bad
98,26523,10/3/17,45.2294106,0.740231047,-4516.85149,24694.097830000002,1112.668873,877.0454285000001,688.0,998.0,15.0,509107.0,between 12 and 14 years,0.0,0,0,bad
103,18610,11/6/16,20123.673740000002,0.73524836,5346.800258,47461.298819999996,0.0,0.0,,-34.0,,,between 0.5 and 1 years,,0,1,bad
105,21276,10/5/16,106252.9046,0.735000323,59.97091708,20099.292019999997,851.422405,848.0612614,,-34.0,9.0,,between 6 and 8 years,,0,0,bad
106,10894,22/01/2017,4512.019461999999,0.7343749759999999,285.48652450000003,4755.81191,0.0,0.0,641.0,927.5,34.0,63334.0,,,0,1,bad
109,4907,3/8/17,1259.34675,0.732382497,-4427.474405,29338.856310000003,11475.114529999999,939.3330814,616.0,890.0,13.0,256811.0,between 2 and 2.5 years,,0,0,bad
113,33275,9/6/16,7759.285996,0.7310698659999999,5480.37049,4556.041647999999,1416.8620640000001,252.801292,626.0,905.0,,,,,0,0,bad
115,14453,1/7/17,17453.80929,0.7301236109999999,3155.702029,28081.735360000002,1492.093949,432.6068881,653.0,945.5,2.0,56010.0,between 2 and 2.5 years,,0,0,bad
117,2876,25/03/2017,7939.025711,0.7292006059999999,6234.988322,13857.19211,458.11533610000004,457.80669850000004,631.0,912.5,37.0,69727.0,,,0,0,bad
118,5296,24/05/2017,9165.64275,0.7289129809999999,119.4694053,15150.79464,0.0,0.0,616.0,890.0,20.0,6390.0,between 1 and 1.5 years,0.0,0,0,bad
120,6865,6/12/17,1043.882967,0.726645112,-246.7142542,7264.569175,163.5188717,90.58041895,665.0,963.5,14.0,19620.0,,0.0,0,0,bad
121,27297,27/08/2016,8957.887377,0.7265667090000001,4608.868297999999,10026.86516,964.4004236,636.6746316000001,654.0,947.0,14.0,34596.0,between 3 and 5 years,,0,0,bad
122,25288,25/09/2017,7365.375496,0.7263954309999999,5177.357746,29935.41592,19116.46527,2135.2679510000003,693.0,1005.5,2.0,56711.0,between 3 and 5 years,0.0,0,0,bad
123,18225,19/11/2016,36.03892953,0.726058964,137.3548055,4852.617373,449.12221619999997,221.6831096,619.0,894.5,16.0,17946.0,less than 0.5 year,,0,1,bad
124,23,22/04/2017,13333.81119,0.725673789,13770.478290000001,6846.937529000001,0.0,0.0,681.0,987.5,7.0,581462.0,less than 0.5 year,21.0,0,0,bad
128,22913,18/09/2016,30798.78895,0.7235793909999999,1233.8556939999999,23785.834730000002,0.0,0.0,615.0,888.5,16.0,24725.0,less than 0.5 year,,0,0,bad
131,10642,17/07/2017,983.9799803999999,0.721227095,-4327.628171,24235.83223,1065.2505609999998,445.5291781,524.0,752.0,23.0,769350.0,between 1.5 and 2 years,0.0,0,0,bad
134,2355,4/5/17,5382.260407,0.719806603,2648.755971,17069.68578,2617.514804,422.1897048,632.0,914.0,7.0,22048.0,between 6 and 8 years,6.0,0,0,bad
137,6840,6/5/17,5872.56399,0.71712294,5764.706096,9257.869008,488.0011897,265.879731,655.0,948.5,4.0,86133.0,between 3 and 5 years,0.0,0,0,bad
138,30585,24/01/2017,15143.66884,0.7150338740000001,3342.07437,17101.70094,0.0,0.0,685.0,993.5,9.0,131572.0,between 8 and 10 years,,0,0,bad
139,12244,1/4/17,6159.230979,0.714472938,7211.155476999999,4835.197716,0.0,0.0,615.0,888.5,64.0,189894.0,between 8 and 10 years,,0,0,bad
140,22786,13/09/2017,188.2313905,0.714131058,-1631.911582,16390.997730000003,6819.685203,398.043126,680.0,986.0,18.0,69371.0,,0.0,0,0,bad
141,21581,27/09/2016,-87.807345,0.713698831,-691.7582318,10634.969290000001,1040.058617,441.2529209,601.0,867.5,9.0,189426.0,less than 0.5 year,,0,0,bad
143,823,4/12/17,37.58524718,0.7118996259999999,2474.320066,12602.3509,2669.054453,582.8651962,666.0,965.0,17.0,415485.0,between 3 and 5 years,0.0,0,0,bad
144,4946,14/03/2017,25659.01186,0.7106875309999999,5175.10415,15118.96831,0.0,0.0,651.0,942.5,32.0,39003.0,between 0.5 and 1 years,,0,0,bad
148,6113,6/3/17,4068.263744,0.7086000920000001,4521.258293,5529.759763,1369.378572,456.95696789999994,604.0,872.0,4.0,673489.0,between 10 and 12 years,0.0,0,0,bad
152,1767,4/2/17,5259.7832450000005,0.706293382,5627.930188,4400.5387359999995,2777.732543,373.80913460000005,706.0,1025.0,12.0,8814.0,between 1.5 and 2 years,6.0,0,0,bad
155,10571,28/01/2017,19390.906580000003,0.703705021,10553.89939,30357.46089,419.97545419999994,415.38715069999995,755.0,1098.5,0.0,145764.0,between 14 and 17 years,,0,0,bad
156,2281,28/03/2017,15266.9545,0.7032868090000001,9835.996896999999,10419.94657,0.0,0.0,699.0,1014.5,7.0,96074.0,,,0,0,good
157,12686,1/2/17,3725.833757,0.7028126259999999,1674.561694,3180.980557,0.0,0.0,658.0,953.0,1.0,140876.0,less than 0.5 year,,0,0,bad
159,38087,21/10/2017,-30.22640811,0.7010488140000001,-1068.191647,11177.779620000001,870.3092134999999,436.60498789999997,603.0,870.5,9.0,298295.0,between 10 and 12 years,0.0,0,0,bad
162,2522,7/10/17,2048.231702,0.699094676,2176.7264809999997,17756.690169999998,6243.789266,213.9208623,624.0,902.0,13.0,83556.0,between 10 and 12 years,0.0,0,0,bad
166,2354,28/03/2017,15172.731430000002,0.69657021,13495.7121,19340.316769999998,0.0,0.0,616.0,890.0,19.0,47405.0,between 1.5 and 2 years,,0,0,bad
